"Date","Price","Open","High","Low","Change %"
"05/24/1989","8.622","8.622","8.622","8.622","0.27%"
"05/23/1989","8.599","8.599","8.599","8.599","0.27%"
"05/22/1989","8.576","8.576","8.576","8.576","-1.45%"
"05/19/1989","8.702","8.702","8.702","8.702","-0.85%"
"05/18/1989","8.777","8.777","8.777","8.777","-0.22%"
"05/17/1989","8.796","8.796","8.796","8.796","-0.37%"
"05/16/1989","8.829","8.829","8.829","8.829","0.16%"
"05/15/1989","8.815","8.815","8.815","8.815","-0.19%"
"05/12/1989","8.832","8.832","8.832","8.832","-3.27%"
"05/11/1989","9.131","9.131","9.131","9.131","-0.65%"
"05/10/1989","9.191","9.191","9.191","9.191","0.55%"
"05/09/1989","9.141","9.141","9.141","9.141","1.15%"
"05/08/1989","9.037","9.037","9.037","9.037","0.66%"
"05/05/1989","8.978","8.978","8.978","8.978","-0.93%"
"05/04/1989","9.062","9.062","9.062","9.062","0.11%"
"05/03/1989","9.052","9.052","9.052","9.052","-0.37%"
"05/02/1989","9.086","9.086","9.086","9.086","-0.55%"
"05/01/1989","9.136","9.136","9.136","9.136","1.31%"
"04/28/1989","9.018","9.018","9.018","9.018","-0.43%"
"04/27/1989","9.057","9.057","9.057","9.057","-0.48%"
"04/26/1989","9.101","9.101","9.101","9.101","-0.16%"
"04/25/1989","9.116","9.116","9.116","9.116","-0.37%"
"04/24/1989","9.150","9.150","9.150","9.150","0.11%"
"04/21/1989","9.140","9.140","9.140","9.140","-0.54%"
"04/20/1989","9.190","9.190","9.190","9.190","1.26%"
"04/19/1989","9.076","9.076","9.076","9.076","0.15%"
"04/18/1989","9.062","9.062","9.062","9.062","-1.50%"
"04/17/1989","9.200","9.200","9.200","9.200","0.27%"
"04/14/1989","9.175","9.175","9.175","9.175","-1.65%"
"04/13/1989","9.329","9.329","9.329","9.329","0.48%"
"04/12/1989","9.284","9.284","9.284","9.284","0.05%"
"04/11/1989","9.279","9.279","9.279","9.279","0.11%"
"04/10/1989","9.269","9.269","9.269","9.269","0.00%"
"04/07/1989","9.269","9.269","9.269","9.269","0.71%"
"04/06/1989","9.204","9.204","9.204","9.204","0.43%"
"04/05/1989","9.165","9.165","9.165","9.165","-0.11%"
"04/04/1989","9.175","9.175","9.175","9.175","-0.42%"
"04/03/1989","9.214","9.214","9.214","9.214","-0.97%"
"03/31/1989","9.304","9.304","9.304","9.304","-0.32%"
"03/30/1989","9.334","9.334","9.334","9.334","-0.32%"
"03/29/1989","9.364","9.364","9.364","9.364","-0.53%"
"03/28/1989","9.414","9.414","9.414","9.414","-0.16%"
